date,최대전력(MW)
2006.3.14,51172
2006.3.15,49855
2006.3.16,50652
2006.3.17,49169
2006.3.18,46276
2006.3.19,44031
2006.3.20,49531
2006.3.21,48644
2006.3.22,48516
2006.3.23,49229
2006.3.24,48988
2006.3.25,45443
2006.3.26,43107
2006.3.27,48572
2006.3.28,50152
2006.3.29,49664
2006.3.30,49548
2006.3.31,48661
2006.4.1,45353
2006.4.2,43108
2006.4.3,47881
2006.4.4,48148
2006.4.5,47677
2006.4.6,48343
2006.4.7,47859
2006.4.8,44628
2006.4.9,41987
2006.4.10,47305
2006.4.11,47262
2006.4.12,47009
2006.4.13,48092
2006.4.14,47119
2006.4.15,44773
2006.4.16,42241
2006.4.17,47487
2006.4.18,46875
2006.4.19,48325
2006.4.20,48484
2006.4.21,47257
2006.4.22,44708
2006.4.23,42621
2006.4.24,47670
2006.4.25,47495
2006.4.26,47142
2006.4.27,46994
2006.4.28,46540
2006.4.29,43444
2006.5.1,41441
2006.5.2,45519
2006.5.3,45899
2006.5.4,45065
2006.5.5,41906
2006.5.6,41850
2006.5.7,39613
2006.5.8,45387
2006.5.9,46201
2006.5.10,45518
2006.5.11,46062
2006.5.12,46146
2006.5.13,42908
2006.5.14,40419
2006.5.15,45423
2006.5.16,45839
2006.5.17,45541
2006.5.18,46043
2006.5.19,45587
2006.5.20,42230
2006.5.21,39744
2006.5.22,46070
2006.5.23,45574
2006.5.24,45761
2006.5.25,45687
2006.5.26,45826
2006.5.27,42506
2006.5.28,39532
2006.5.29,45432
2006.5.30,46264
2006.5.31,42487
2006.6.1,46408
2006.6.2,48558
2006.6.3,43710
2006.6.4,39332
2006.6.5,46939
2006.6.6,43371
2006.6.7,47739
2006.6.8,46989
2006.6.9,47086
2006.6.10,43850
2006.6.11,39437
2006.6.12,47275
2006.6.13,48818
2006.6.14,46127
2006.6.15,46680
2006.6.16,47394
2006.6.17,43198
2006.6.18,40016
2006.6.19,49076
2006.6.20,49126
2006.6.21,48581
2006.6.22,49337
2006.6.23,50375
2006.6.24,44180
2006.6.25,40399
2006.6.26,48657
2006.6.27,49538
2006.6.28,51310
2006.6.29,51941
2006.6.30,51308
2006.7.1,44307
2006.7.2,40588
2006.7.3,49629
2006.7.4,49150
2006.7.5,48662
2006.7.6,47377
2006.7.7,49154
2006.7.8,45277
2006.7.9,42430
2006.7.10,48334
2006.7.11,50439
2006.7.12,52533
2006.7.13,53912
2006.7.14,55263
2006.7.15,48510
2006.7.16,40162
2006.7.17,42056
2006.7.18,47234
2006.7.19,46456
2006.7.20,47025
2006.7.21,47547
2006.7.22,44570
2006.7.23,40194
2006.7.24,48130
2006.7.25,49225
2006.7.26,48163
2006.7.27,48852
2006.7.28,48913
2006.7.29,44351
2006.7.30,42988
2006.7.31,48135
2006.8.1,48352
2006.8.2,49300
2006.8.3,51775
2006.8.4,53056
2006.8.5,48765
2006.8.6,45705
2006.8.7,54798
2006.8.8,56169
2006.8.9,57063
2006.8.10,57242
2006.8.11,55796
2006.8.12,50995
2006.8.13,47046
2006.8.14,57270
2006.8.15,52087
2006.8.16,58994
2006.8.17,56531
2006.8.18,54061
2006.8.19,46107
2006.8.20,42970
2006.8.21,55183
2006.8.22,56141
2006.8.23,56230
2006.8.24,56659
2006.8.25,55853
2006.8.26,50038
2006.8.27,43742
2006.8.28,54707
2006.8.29,53821
2006.8.30,52076
2006.8.31,52399
2006.9.1,51674
2006.9.2,47149
2006.9.3,42369
2006.9.4,51744
2006.9.5,48863
2006.9.6,47912
2006.9.7,48666
2006.9.8,48718
2006.9.9,44387
2006.9.10,39595
2006.9.11,46858
2006.9.12,47826
2006.9.13,47760
2006.9.14,48193
2006.9.15,47600
2006.9.16,43151
2006.9.17,39688
2006.9.18,46980
2006.9.19,48500
2006.9.20,47810
2006.9.21,49008
2006.9.22,48835
2006.9.23,43395
2006.9.24,40233
2006.9.25,48333
2006.9.26,48468
2006.9.27,48401
2006.9.28,48773
2006.9.29,47725
2006.9.30,43453
2006.10.1,41396
2006.10.2,46204
2006.10.3,43018
2006.10.4,39944
2006.10.5,34557
2006.10.6,31589
2006.10.7,34247
2006.10.8,36954
2006.10.9,46515
2006.10.10,48071
2006.10.11,47502
2006.10.12,47967
2006.10.13,47578
2006.10.14,43272
2006.10.15,40654
2006.10.16,48175
2006.10.17,49033
2006.10.18,48372
2006.10.19,48982
2006.10.20,48083
2006.10.21,43245
2006.10.22,41055
2006.10.23,47284
2006.10.24,47274
2006.10.25,47061
2006.10.26,48070
2006.10.27,47333
2006.10.28,43887
2006.10.29,41357
2006.10.30,47464
2006.10.31,47644
2006.11.1,47214
2006.11.2,48319
2006.11.3,47795
2006.11.4,44213
2006.11.5,42362
2006.11.6,49437
2006.11.7,50350
2006.11.8,48980
2006.11.9,49078
2006.11.10,49224
2006.11.11,46329
2006.11.12,44066
2006.11.13,49900
2006.11.14,50868
2006.11.15,50744
2006.11.16,51631
2006.11.17,51059
2006.11.18,47631
2006.11.19,44580
2006.11.20,50554
2006.11.21,50757
2006.11.22,51111
2006.11.23,51242
2006.11.24,50708
2006.11.25,47032
2006.11.26,44446
2006.11.27,50995
2006.11.28,51062
2006.11.29,51796
2006.11.30,52071
2006.12.1,51910
2006.12.2,50181
2006.12.3,48186
2006.12.4,54505
2006.12.5,53883
2006.12.6,53425
2006.12.7,53798
2006.12.8,53267
2006.12.9,50022
2006.12.10,47885
2006.12.11,54008
2006.12.12,52941
2006.12.13,52796
2006.12.14,53361
2006.12.15,53006
2006.12.16,50458
2006.12.17,48950
2006.12.18,55248
2006.12.20,53669
2006.12.21,53788
2006.12.22,53114
2006.12.23,49919
2006.12.25,47886
2006.12.26,52176
2006.12.27,53070
2006.12.28,55508
2006.12.29,54003
2006.12.30,51396
2006.12.31,47702
2007.1.1,45610
2007.1.2,51305
2007.1.3,52861
2007.1.4,52790
2007.1.5,52616
2007.1.6,51321
2007.1.7,49141
2007.1.8,54753
2007.1.9,54683
2007.1.10,54312
2007.1.11,54657
2007.1.12,54687
2007.1.13,52184
2007.1.14,49782
2007.1.15,55066
2007.1.16,54399
2007.1.17,53672
2007.1.18,54064
2007.1.19,53927
2007.1.20,50630
2007.1.21,48293
2007.1.22,53724
2007.1.23,53683
2007.1.24,53453
2007.1.25,53636
2007.1.26,53845
2007.1.27,50696
2007.1.28,48521
2007.1.29,54090
2007.1.30,54663
2007.1.31,54626
2007.2.1,55402
2007.2.2,55071
2007.2.3,52482
2007.2.4,48825
2007.2.5,53613
2007.2.6,52646
2007.2.7,52411
2007.2.8,52495
2007.2.9,52746
2007.2.10,49842
2007.2.11,47620
2007.2.12,53266
2007.2.13,53548
2007.2.14,54222
2007.2.15,53771
2007.2.16,51247
2007.2.17,45801
2007.2.18,39596
2007.2.19,39596
2007.2.20,46246
2007.2.21,50523
2007.2.22,51563
2007.2.23,52025
2007.2.24,48844
2007.2.25,46255
2007.2.26,51578
2007.2.27,51351
2007.2.28,50771
2007.3.1,48345
2007.3.2,50297
2007.3.3,47119
2007.3.4,44937
2007.3.5,53762
2007.3.6,54396
2007.3.7,54041
2007.3.8,53245
2007.3.9,52526
2007.3.10,50077
2007.3.11,47720
2007.3.12,52923
2007.3.13,52735
2007.3.14,52311
2007.3.15,51963
2007.3.16,51638
2007.3.17,48400
2007.3.18,46116
2007.3.19,51972
2007.3.20,52064
2007.3.21,51900
2007.3.22,51596
2007.3.23,50399
2007.3.24,47642
2007.3.25,45010
2007.3.26,50495
2007.3.27,50637
2007.3.28,50364
2007.3.29,50695
2007.3.30,49895
2007.3.31,46890
2007.4.1,44458
2007.4.2,50387
2007.4.3,50750
2007.4.4,50387
2007.4.5,49793
2007.4.6,49193
2007.4.7,45996
2007.4.8,44324
2007.4.9,48927
2007.4.10,49231
2007.4.11,48804
2007.4.12,48860
2007.4.13,48678
2007.4.14,45352
2007.4.15,43540
2007.4.16,49220
2007.4.17,49416
2007.4.18,49128
2007.4.19,48635
2007.4.20,48523
2007.4.21,44603
2007.4.22,43033
2007.4.23,47957
2007.4.24,48390
2007.4.25,47768
2007.4.26,47848
2007.4.27,47380
2007.4.28,43641
2007.4.29,41734
2007.4.30,46566
2007.5.1,44748
2007.5.2,46980
2007.5.3,47818
2007.5.4,46928
2007.5.5,42554
2007.5.6,41572
2007.5.7,47691
2007.5.8,48343
2007.5.9,48240
2007.5.10,47986
2007.5.11,47697
2007.5.12,44727
2007.5.13,41961
2007.5.14,47849
2007.5.15,47992
2007.5.16,48066
2007.5.17,47865
2007.5.18,47557
2007.5.19,43957
2007.5.20,41560
2007.5.21,47770
2007.5.22,48292
2007.5.23,48294
2007.5.24,45392
2007.5.25,47395
2007.5.26,43974
2007.5.27,41604
2007.5.28,48731
2007.5.29,48714
2007.5.30,47871
2007.5.31,49166
2007.6.1,47696
2007.6.2,44827
2007.6.3,41893
2007.6.4,50104
2007.6.5,49696
2007.6.6,46001
2007.6.7,50041
2007.6.8,50084
2007.6.9,44573
2007.6.10,42197
2007.6.11,51890
2007.6.12,52459
2007.6.13,51707
2007.6.14,51176
2007.6.15,50677
2007.6.16,46484
2007.6.17,42762
2007.6.18,53508
2007.6.19,54527
2007.6.20,55016
2007.6.21,52620
2007.6.22,53477
2007.6.23,48084
2007.6.24,43047
2007.6.25,51570
2007.6.26,54551
2007.6.27,55800
2007.6.28,55659
2007.6.29,53249
2007.6.30,48170
2007.7.1,42444
2007.7.2,51075
2007.7.3,53385
2007.7.4,51555
2007.7.5,53249
2007.7.6,54093
2007.7.7,49036
2007.7.8,45148
2007.7.9,53833
2007.7.10,51588
2007.7.11,51130
2007.7.12,54189
2007.7.13,54314
2007.7.14,46809
2007.7.15,44106
2007.7.16,50296
2007.7.17,47556
2007.7.18,55774
2007.7.19,53691
2007.7.20,54439
2007.7.21,47133
2007.7.22,44004
2007.7.23,53359
2007.7.24,53655
2007.7.25,54925
2007.7.26,56929
2007.7.27,57913
2007.7.28,51138
2007.7.29,45338
2007.7.30,53122
2007.7.31,53112
2007.8.1,52123
2007.8.2,52180
2007.8.3,52597
2007.8.4,45846
2007.8.5,44620
2007.8.6,51374
2007.8.7,51701
2007.8.8,52869
2007.8.9,56308
2007.8.10,57432
2007.8.11,52383
2007.8.12,46532
2007.8.13,57454
2007.8.14,57455
2007.8.15,52530
2007.8.16,59925
2007.8.17,60603
2007.8.18,54787
2007.8.19,49080
2007.8.20,61545
2007.8.21,62285
2007.8.22,61661
2007.8.23,60529
2007.8.24,61511
2007.8.25,56418
2007.8.26,50541
2007.8.27,61604
2007.8.28,60092
2007.8.29,55558
2007.8.30,52947
2007.8.31,52790
2007.9.1,46815
2007.9.2,42545
2007.9.3,52027
2007.9.4,51847
2007.9.5,51041
2007.9.6,50204
2007.9.7,51134
2007.9.8,47020
2007.9.9,43371
2007.9.10,53671
2007.9.11,54045
2007.9.12,54931
2007.9.13,54424
2007.9.14,52905
2007.9.15,48419
2007.9.16,43409
2007.9.17,53153
2007.9.18,52524
2007.9.19,55475
2007.9.20,57220
2007.9.21,54409
2007.9.22,45931
2007.9.23,41191
2007.9.24,36266
2007.9.25,34024
2007.9.26,37671
2007.9.27,47539
2007.9.28,48630
2007.9.29,45188
2007.9.30,42970
2007.10.1,50325
2007.10.2,50772
2007.10.3,47283
2007.10.4,51328
2007.10.5,50563
2007.10.6,45538
2007.10.7,43032
2007.10.8,49993
2007.10.9,50030
2007.10.10,49685
2007.10.11,50044
2007.10.12,49564
2007.10.13,43556
2007.10.14,42218
2007.10.15,49677
2007.10.16,50304
2007.10.17,49931
2007.10.18,50465
2007.10.19,49968
2007.10.20,46161
2007.10.21,44221
2007.10.22,50931
2007.10.23,51294
2007.10.24,50696
2007.10.25,51527
2007.10.26,50600
2007.10.27,45476
2007.10.28,43781
2007.10.29,51868
2007.10.30,51878
2007.10.31,51051
2007.11.1,51877
2007.11.2,51060
2007.11.3,46908
2007.11.4,45334
2007.11.5,52597
2007.11.6,52394
2007.11.7,51526
2007.11.8,52619
2007.11.9,52023
2007.11.10,47364
2007.11.11,45593
2007.11.12,52675
2007.11.13,53429
2007.11.14,52620
2007.11.15,53330
2007.11.16,53659
2007.11.17,49761
2007.11.18,49039
2007.11.19,57109
2007.11.20,57121
2007.11.21,56200
2007.11.22,56751
2007.11.23,55282
2007.11.24,50556
2007.11.25,48314
2007.11.26,55642
2007.11.27,56595
2007.11.28,55304
2007.11.29,55383
2007.11.30,55687
2007.12.1,51225
2007.12.2,49294
2007.12.3,57308
2007.12.4,58472
2007.12.5,57850
2007.12.6,58111
2007.12.7,57111
2007.12.8,53024
2007.12.9,50577
2007.12.10,57998
2007.12.11,56820
2007.12.12,56912
2007.12.13,58007
2007.12.14,57331
2007.12.15,53078
2007.12.16,51085
2007.12.17,58122
2007.12.18,58004
2007.12.19,54261
2007.12.20,57655
2007.12.21,57435
2007.12.22,52512
2007.12.23,50655
2007.12.24,55712
2007.12.25,51564
2007.12.26,55063
2007.12.27,55390
2007.12.28,55008
2007.12.29,52227
2007.12.30,51955
2007.12.31,52130
2008.1.1,50746
2008.1.2,57226
2008.1.3,58416
2008.1.5,53553
2008.1.6,50859
2008.1.7,57725
2008.1.8,57520
2008.1.9,57507
2008.1.10,57368
2008.1.11,58615
2008.1.12,53238
2008.1.13,51660
2008.1.14,58961
2008.1.15,59445
2008.1.16,59938
2008.1.17,60947
2008.1.18,60497
2008.1.19,55656
2008.1.20,52086
2008.1.21,59762
2008.1.22,59449
2008.1.23,58738
2008.1.24,60256
2008.1.25,60502
2008.1.26,55430
2008.1.27,52242
2008.1.28,59758
2008.1.29,59673
2008.1.30,59425
2008.1.31,59887
2008.2.1,59181
2008.2.2,55263
2008.2.3,53137
2008.2.4,58788
2008.2.5,57215
2008.2.6,50720
2008.2.7,44834
2008.2.8,46181
2008.2.9,49381
2008.2.10,50693
2008.2.11,58683
2008.2.12,60610
2008.2.13,60742
2008.2.14,59689
2008.2.15,59398
2008.2.16,55263
2008.2.17,52431
2008.2.18,59464
2008.2.19,59172
2008.2.20,57809
2008.2.21,57611
2008.2.22,56256
2008.2.23,53860
2008.2.24,51214
2008.2.25,58710
2008.2.26,58583
2008.2.27,58316
2008.2.28,57146
2008.2.29,56460
2008.3.1,51472
2008.3.2,49323
2008.3.3,55959
2008.3.4,56791
2008.3.5,56405
2008.3.6,56686
2008.3.7,55272
2008.3.8,51355
2008.3.9,48347
2008.3.10,54304
2008.3.11,53493
2008.3.12,52902
2008.3.13,53367
2008.3.14,52608
2008.3.15,48826
2008.3.16,46921
2008.3.17,52728
2008.3.18,52375
2008.3.19,51986
2008.3.20,52082
2008.3.21,51247
2008.3.22,47792
2008.3.23,46790
2008.3.24,52477
2008.3.25,53713
2008.3.26,52591
2008.3.27,53503
2008.3.28,52319
2008.3.29,49355
2008.3.30,47102
2008.3.31,52885
2008.4.1,52288
2008.4.2,52796
2008.4.3,51957
2008.4.4,51128
2008.4.5,46960
2008.4.6,44811
2008.4.7,50947
2008.4.8,50088
2008.4.9,49498
2008.4.10,50647
2008.4.11,50197
2008.4.12,46686
2008.4.13,45118
2008.4.14,50560
2008.4.15,50308
2008.4.16,49796
2008.4.17,50420
2008.4.18,49927
2008.4.19,45571
2008.4.20,43643
2008.4.21,50125
2008.4.22,50544
2008.4.23,50075
2008.4.24,50448
2008.4.25,50045
2008.4.26,47023
2008.4.27,45436
2008.4.28,50053
2008.4.29,50352
2008.4.30,49554
2008.5.1,45929
2008.5.2,48810
2008.5.3,45088
2008.5.4,42349
2008.5.5,44025
2008.5.6,49947
2008.5.7,49733
2008.5.8,49958
2008.5.9,49592
2008.5.10,46252
2008.5.11,43239
2008.5.12,45738
2008.5.13,50306
2008.5.14,49830
2008.5.15,50304
2008.5.16,49825
2008.5.17,46686
2008.5.18,43986
2008.5.19,49408
2008.5.20,49854
2008.5.21,49755
2008.5.22,50636
2008.5.23,51246
2008.5.24,47098
2008.5.25,43497
2008.5.26,50839
2008.5.27,52362
2008.5.28,51264
2008.5.29,52633
2008.5.30,50815
2008.5.31,46173
2008.6.1,43590
2008.6.2,50590
2008.6.3,51159
2008.6.4,50186
2008.6.5,49944
2008.6.6,46629
2008.6.7,44884
2008.6.8,42900
2008.6.9,52099
2008.6.10,53545
2008.6.11,53566
2008.6.12,54429
2008.6.13,54109
2008.6.14,48565
2008.6.15,43806
2008.6.16,52061
2008.6.17,52241
2008.6.18,52571
2008.6.19,52780
2008.6.20,54719
2008.6.21,49383
2008.6.22,44551
2008.6.23,53081
2008.6.24,53570
2008.6.25,54365
2008.6.26,54934
2008.6.27,55504
2008.6.28,49013
2008.6.29,44366
2008.6.30,53872
2008.7.1,54770
2008.7.2,54465
2008.7.3,55081
2008.7.4,57398
2008.7.5,51356
2008.7.6,48583
2008.7.7,60234
2008.7.8,62248
2008.7.9,62478
2008.7.10,61343
2008.7.11,61017
2008.7.12,52976
2008.7.13,49076
2008.7.14,62466
2008.7.15,62794
2008.7.16,60383
2008.7.17,60563
2008.7.18,61548
2008.7.19,53759
2008.7.20,48457
2008.7.21,57878
2008.7.22,57800
2008.7.23,58277
2008.7.24,58152
2008.7.25,56714
2008.7.26,49984
2008.7.27,47876
2008.7.28,58289
2008.7.29,59775
2008.7.30,56464
2008.7.31,55427
2008.8.1,53939
2008.8.2,47745
2008.8.3,46960
2008.8.4,55879
2008.8.5,57858
2008.8.6,58157
2008.8.7,58978
2008.8.8,60439
2008.8.9,55237
2008.8.10,52291
2008.8.11,62511
2008.8.12,61263
2008.8.13,61271
2008.8.14,61297
2008.8.15,53341
2008.8.16,47768
2008.8.17,45791
2008.8.18,56804
2008.8.19,55990
2008.8.20,55810
2008.8.21,54501
2008.8.22,52535
2008.8.23,48272
2008.8.24,45618
2008.8.25,55985
2008.8.26,55634
2008.8.27,55526
2008.8.28,56509
2008.8.29,57413
2008.8.30,50791
2008.8.31,46536
2008.9.1,55319
2008.9.2,54917
2008.9.3,56596
2008.9.4,55735
2008.9.5,55678
2008.9.6,50723
2008.9.7,47856
2008.9.8,58219
2008.9.9,58222
2008.9.10,57585
2008.9.11,56543
2008.9.12,53880
2008.9.13,40415
2008.9.14,36649
2008.9.15,40474
2008.9.16,48715
2008.9.17,55875
2008.9.18,58510
2008.9.20,50966
2008.9.21,46749
2008.9.22,55430
2008.9.23,55246
2008.9.24,54257
2008.9.25,52810
2008.9.26,50569
2008.9.27,45245
2008.9.28,43200
2008.9.29,51196
2008.9.30,51544
2008.10.1,51896
2008.10.2,52025
2008.10.3,47912
2008.10.4,45894
2008.10.5,43884
2008.10.6,52714
2008.10.7,52885
2008.10.8,52454
2008.10.9,53188
2008.10.10,52481
2008.10.11,45675
2008.10.12,43606
2008.10.13,52237
2008.10.14,52584
2008.10.15,52185
2008.10.16,53132
2008.10.17,52452
2008.10.18,46470
2008.10.19,43324
2008.10.20,52689
2008.10.21,52943
2008.10.23,53232
2008.10.24,51403
2008.10.25,45533
2008.10.26,43745
2008.10.27,51928
2008.10.28,52212
2008.10.29,51713
2008.10.30,52125
2008.10.31,51380
2008.11.1,45830
2008.11.2,44411
2008.11.3,51982
2008.11.4,52398
2008.11.5,51727
2008.11.6,52041
2008.11.7,51675
2008.11.8,45681
2008.11.9,44857
2008.11.10,52275
2008.11.11,52333
2008.11.12,51936
2008.11.13,52308
2008.11.14,51827
2008.11.15,46763
2008.11.16,45711
2008.11.17,54182
2008.11.18,56698
2008.11.19,57764
